,Name,Details,New price,Discount
0,fastrack wearables,unisex reflex curv pink strap silicone digital watch,4495,31
1,fastrack wearables,unisex 40 mm reflex slay charcoal black dial silicone smart watch,3995,33
2,titan,mens 52.50 x 11.70 x 44 mm octane black dial leather analog watch - 90107kl01,3997,50
3,timex,men fashion green multifunction strap wrist watch,3596,20
4,police,mens grey leather multi-function watch  - pl15472jsu61,7977,40
5,tommy hilfiger,mens 47.5 mm luke silver dial stainless steel watch - ncth1791121w,9625,30
6,titan,mens 52.50 x 11.70 x 44 mm octane anthracite dial leather analog watch - 90107ql01,3997,50
7,tommy hilfiger,mens 46 mm bank blue dial silicone watch - ncth1791721,9625,30
8,tommy hilfiger,mens 44 mm kyle black dial zinc alloy watch - ncth1791695,10150,30
9,fastrack wearables,unisex 37.25 mm reflex vox blazing blue dial silicone smart watch,4995,29
10,armani exchange,mens chronograph leather watch - ax2098,13995,0
11,guess,mens 43 mm phoenix blue dial leather analog watch - gw0202g4,13515,15
12,fossil,mens blue dial analogue watch - wfif-fs5742i,6646,30
13,tommy hilfiger,mens 40.5 mm james black dial zinc alloy watch - ncth1791655,7696,30
14,tommy hilfiger,mens black dial stainless steel bracelet analog watch,9446,30
15,titan,mens 49.2 x 42 mm neo splash blue dial stainless steel analogue watch,6995,0
16,titan,mens urban magic silver white dial stainless steel analog watch,10995,0
17,fossil,mens garrett black dial chronograph watch - wfif-fs5771i,7996,20
18,diesel,mens 46 mm griffed silver dial pu chronograph watch - dz4521,9597,40
19,tommy hilfiger,mens 44 mm evan black dial zinc alloy watch - ncth1710410,10146,30
20,timex,unisex 44x37 mm fit 2.0 square calling black dial silicone digital watch - twtxw204t,4796,20
21,guess,mens 43 mm phoenix black dial silicone analog watch - w1315g3,10400,0
22,police,mens 47 mm ceramics green dial leather watch - plpewjf2108602,10846,30
23,fossil,mens 44 mm autocross blue dial stainless steel analog watch - bq2552i,8495,0
24,fastrack wearables,unisex 18.5 x 45.4 x 11 mm reflex 3.0 black dial silicone smart band - swd90067pp04a,1795,40
25,fastrack wearables,unisex reflex curv pink strap silicone digital watch,4495,31
26,fastrack wearables,unisex 40 mm reflex slay charcoal black dial silicone smart watch,3995,33
27,titan,mens 52.50 x 11.70 x 44 mm octane black dial leather analog watch - 90107kl01,3997,50
28,timex,men fashion green multifunction strap wrist watch,3596,20
29,police,mens grey leather multi-function watch  - pl15472jsu61,7977,40
30,tommy hilfiger,mens 47.5 mm luke silver dial stainless steel watch - ncth1791121w,9625,30
31,titan,mens 52.50 x 11.70 x 44 mm octane anthracite dial leather analog watch - 90107ql01,3997,50
32,tommy hilfiger,mens 46 mm bank blue dial silicone watch - ncth1791721,9625,30
33,tommy hilfiger,mens 44 mm kyle black dial zinc alloy watch - ncth1791695,10150,30
34,fastrack wearables,unisex 37.25 mm reflex vox blazing blue dial silicone smart watch,4995,29
35,armani exchange,mens chronograph leather watch - ax2098,13995,0
36,guess,mens 43 mm phoenix blue dial leather analog watch - gw0202g4,13515,15
37,fossil,mens blue dial analogue watch - wfif-fs5742i,6646,30
38,tommy hilfiger,mens 40.5 mm james black dial zinc alloy watch - ncth1791655,7696,30
39,tommy hilfiger,mens black dial stainless steel bracelet analog watch,9446,30
40,titan,mens 49.2 x 42 mm neo splash blue dial stainless steel analogue watch,6995,0
41,titan,mens urban magic silver white dial stainless steel analog watch,10995,0
42,fossil,mens garrett black dial chronograph watch - wfif-fs5771i,7996,20
43,diesel,mens 46 mm griffed silver dial pu chronograph watch - dz4521,9597,40
44,tommy hilfiger,mens 44 mm evan black dial zinc alloy watch - ncth1710410,10146,30
45,timex,unisex 44x37 mm fit 2.0 square calling black dial silicone digital watch - twtxw204t,4796,20
46,guess,mens 43 mm phoenix black dial silicone analog watch - w1315g3,10400,0
47,police,mens 47 mm ceramics green dial leather watch - plpewjf2108602,10846,30
48,fossil,mens 44 mm autocross blue dial stainless steel analog watch - bq2552i,8495,0
49,fastrack wearables,unisex 18.5 x 45.4 x 11 mm reflex 3.0 black dial silicone smart band - swd90067pp04a,1795,40
50,fastrack wearables,unisex reflex curv pink strap silicone digital watch,4495,31
51,fastrack wearables,unisex 40 mm reflex slay charcoal black dial silicone smart watch,3995,33
52,titan,mens 52.50 x 11.70 x 44 mm octane black dial leather analog watch - 90107kl01,3997,50
53,timex,men fashion green multifunction strap wrist watch,3596,20
54,police,mens grey leather multi-function watch  - pl15472jsu61,7977,40
55,tommy hilfiger,mens 47.5 mm luke silver dial stainless steel watch - ncth1791121w,9625,30
56,titan,mens 52.50 x 11.70 x 44 mm octane anthracite dial leather analog watch - 90107ql01,3997,50
57,tommy hilfiger,mens 46 mm bank blue dial silicone watch - ncth1791721,9625,30
58,tommy hilfiger,mens 44 mm kyle black dial zinc alloy watch - ncth1791695,10150,30
59,fastrack wearables,unisex 37.25 mm reflex vox blazing blue dial silicone smart watch,4995,29
60,armani exchange,mens chronograph leather watch - ax2098,13995,0
61,guess,mens 43 mm phoenix blue dial leather analog watch - gw0202g4,13515,15
62,fossil,mens blue dial analogue watch - wfif-fs5742i,6646,30
63,tommy hilfiger,mens 40.5 mm james black dial zinc alloy watch - ncth1791655,7696,30
64,tommy hilfiger,mens black dial stainless steel bracelet analog watch,9446,30
65,titan,mens 49.2 x 42 mm neo splash blue dial stainless steel analogue watch,6995,0
66,titan,mens urban magic silver white dial stainless steel analog watch,10995,0
67,fossil,mens garrett black dial chronograph watch - wfif-fs5771i,7996,20
68,diesel,mens 46 mm griffed silver dial pu chronograph watch - dz4521,9597,40
69,tommy hilfiger,mens 44 mm evan black dial zinc alloy watch - ncth1710410,10146,30
70,timex,unisex 44x37 mm fit 2.0 square calling black dial silicone digital watch - twtxw204t,4796,20
71,guess,mens 43 mm phoenix black dial silicone analog watch - w1315g3,10400,0
72,police,mens 47 mm ceramics green dial leather watch - plpewjf2108602,10846,30
73,fossil,mens 44 mm autocross blue dial stainless steel analog watch - bq2552i,8495,0
74,fastrack wearables,unisex 18.5 x 45.4 x 11 mm reflex 3.0 black dial silicone smart band - swd90067pp04a,1795,40
75,fastrack wearables,unisex reflex curv pink strap silicone digital watch,4495,31
